acct|period|cash|mkt|feature_max_mkt|feature_prev_1_max_mkt|feature_prev_2_max_mkt
16820604|2021-08|119.8900000001304|1377968.90394|1377968.90394|1320541.6949|1320541.6949
16820604|2021-09|119.1500000001397|1327845.19136|1377968.90394|1377968.90394|1377968.90394
16820604|2021-10|114.36999999987891|1361660.85255|1377968.90394|1377968.90394|1377968.90394
16874940|2021-06|0.0|16372.96101|16372.96101|15926.86116|15926.86116
16874940|2021-07|0.0|16653.4368|16653.4368|16372.96101|16372.96101
16874940|2021-08|0.0|17083.69632|17083.69632|16653.4368|16653.4368
16874940|2021-09|0.0|16733.33278|17083.69632|17083.69632|17083.69632
16874940|2021-10|0.0|17590.9833|17590.9833|17083.69632|17083.69632
16884621|2021-06|0.0|35499.38069|35499.38069|35397.05264|35397.05264
16884621|2021-07|0.0|35676.41187|35676.41187|35499.38069|35499.38069
16884621|2021-08|0.0|35859.66376|35859.66376|35676.41187|35676.41187
16884621|2021-09|0.0|35380.03866|35859.66376|35859.66376|35859.66376
16884621|2021-10|0.0|35629.95459|35859.66376|35859.66376|35859.66376
16918318|2021-06|0.0|184569.1|184569.1|182961.53|182961.53
16918318|2021-07|0.0|184712.51|184712.51|184569.1|184569.1
16918318|2021-08|0.0|192368.56|192368.56|184712.51|184712.51
16918318|2021-09|317.5800000000163|187537.89|192368.56|192368.56|192368.56
16918318|2021-10|0.0|193777.74|193777.74|192368.56|192368.56
16996589|2021-06|0.0|13234.26595|13234.26595|13133.51361|13133.51361
16996589|2021-07|0.0|13235.43264|13235.43264|13234.26595|13234.26595
16996589|2021-08|0.0|13415.04264|13415.04264|13235.43264|13235.43264
16996589|2021-09|0.0|13049.0492|13415.04264|13415.04264|13415.04264
16996589|2021-10|0.0|13392.34494|13415.04264|13415.04264|13415.04264
17175261|2021-06|2.9103830456733704e-11|139270.66536|139270.66536|137613.19157|137613.19157
17175261|2021-07|-2.9103830456733704e-11|139925.28512|139925.28512|139270.66536|139270.66536
17175261|2021-08|0.0|143435.48047|143435.48047|139925.28512|139925.28512
17175261|2021-09|0.0|138473.16522|143435.48047|143435.48047|143435.48047
17175261|2021-10|0.0|145550.20862|145550.20862|143435.48047|143435.48047
17283119|2021-06|0.0|4367178.295659|4367178.295659|4354378.62248|4354378.62248
17283119|2021-07|0.0|4386785.918717|4386785.918717|4367178.295659|4367178.295659
17283119|2021-08|-9.313225746154783e-10|4441113.180162|4441113.180162|4386785.918717|4386785.918717
17283119|2021-09|0.0|4347809.862634|4441113.180162|4441113.180162|4441113.180162
17283119|2021-10|0.0|4441215.476866|4441215.476866|4441113.180162|4441113.180162
17283437|2021-06|0.0|29548.84476|29548.84476|29247.35037|29247.35037
17283437|2021-07|0.0|29753.31035|29753.31035|29548.84476|29548.84476
17283437|2021-08|0.0|30291.65378|30291.65378|29753.31035|29753.31035
17283437|2021-09|0.0|29186.72398|30291.65378|30291.65378|30291.65378
17283437|2021-10|0.0|30522.40313|30522.40313|30291.65378|30291.65378
17328326|2021-06|0.0|9652.940928|9652.940928|8645.02056|8645.02056
17328326|2021-07|0.0|10698.364656|10698.364656|9652.940928|9652.940928
17328326|2021-08|0.0|11912.132112|11912.132112|10698.364656|10698.364656
17328326|2021-09|0.0|12319.307704|12319.307704|11912.132112|11912.132112
17328326|2021-10|0.0|13953.422772|13953.422772|12319.307704|12319.307704
17454153|2021-06|0.0|10674.32|10674.32|9774.32|9774.32
17454153|2021-07|0.0|11574.32|11574.32|10674.32|10674.32
17454153|2021-08|0.0|12474.34|12474.34|11574.32|11574.32
17454153|2021-09|0.0|13374.39|13374.39|12474.34|12474.34
17454153|2021-10|0.0|14274.39|14274.39|13374.39|13374.39
17488406|2021-06|0.0|2811.04768|2811.04768|2666.80992|2666.80992
17488406|2021-07|0.0|2919.68406|2919.68406|2811.04768|2811.04768
17488406|2021-08|0.0|3100.42972|3100.42972|2919.68406|2919.68406
17488406|2021-09|0.0|3071.1386|3100.42972|3100.42972|3100.42972
17488406|2021-10|-4.547473508864641e-13|3377.66506|3377.66506|3100.42972|3100.42972
17555093|2021-06|0.0|182496.6|182496.6|166931.53|166931.53
17555093|2021-07|6.350000000005821|190589.7|190589.7|182496.6|182496.6
17555093|2021-08|0.0|197538.205|197538.205|190589.7|190589.7
17555093|2021-09|0.0|185503.445|197538.205|197538.205|197538.205
17555093|2021-10|6.619999999995343|197760.585|197760.585|197538.205|197538.205
17771330|2021-06|0.0|19593.84195|19593.84195|19453.27061|19453.27061
